
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 2: B
 Fecha: 25.03.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:01:59;05101045200;Offline;;;;;;;
00:11:49;05101045200;Offline;;;;;;;
00:21:26;05101045200;Offline;;;;;;;
00:30:57;05101045200;Offline;;;;;;;
00:40:37;05101045200;Offline;;;;;;;
00:50:14;05101045200;Offline;;;;;;;
01:03:11;05101045200;Offline;;;;;;;
01:12:48;05101045200;Offline;;;;;;;
01:22:38;05101045200;Offline;;;;;;;
01:32:22;05101045200;Offline;;;;;;;
01:42:15;05101045200;Offline;;;;;;;
01:52:08;05101045200;Offline;;;;;;;
02:01:52;05101045200;Offline;;;;;;;
02:11:30;05101045200;Offline;;;;;;;
02:21:13;05101045200;Offline;;;;;;;
02:30:48;05101045200;Offline;;;;;;;
02:40:34;05101045200;Offline;;;;;;;
02:50:15;05101045200;Offline;;;;;;;
03:03:02;05101045200;Offline;;;;;;;
03:12:42;05101045200;Offline;;;;;;;
03:22:40;05101045200;Offline;;;;;;;
03:32:47;05101045200;Offline;;;;;;;
03:42:29;05101045200;Offline;;;;;;;
03:52:15;05101045200;Offline;;;;;;;
04:01:57;05101045200;Offline;;;;;;;
04:11:41;05101045200;Offline;;;;;;;
04:21:28;05101045200;Offline;;;;;;;
04:31:23;05101045200;Offline;;;;;;;
04:41:03;05101045200;Offline;;;;;;;
04:50:48;05101045200;Offline;;;;;;;
05:00:30;05101045200;Offline;;;;;;;
05:10:16;05101045200;Offline;;;;;;;
05:20:11;05101045200;Offline;;;;;;;
05:33:01;05101045200;Offline;;;;;;;
05:42:42;05101045200;Offline;;;;;;;
05:52:28;05101045200;Offline;;;;;;;
06:02:04;05101045200;Offline;;;;;;;
06:11:47;05101045200;Offline;;;;;;;
06:21:33;05101045200;Offline;;;;;;;
06:31:17;05101045200;Offline;;;;;;;
06:41:03;05101045200;Offline;;;;;;;
06:50:49;05101045200;Offline;;;;;;;
07:02:23;05101045200;Offline;;;;;;;
07:12:20;05101045200;Offline;;;;;;;
07:22:11;05101045200;Ok;208.9 V;0 W;0.000 kWh;5056 h;216 V;0.00 A;98060.156 kWh
07:31:49;05101045200;Ok;218.7 V;30 W;0.003 kWh;5056 h;218 V;0.14 A;98060.159 kWh
07:41:15;05101045200;Ok;352.8 V;34 W;0.008 kWh;5056 h;216 V;0.16 A;98060.164 kWh
07:51:02;05101045200;Ok;338.7 V;34 W;0.014 kWh;5057 h;216 V;0.16 A;98060.170 kWh
08:00:52;05101045200;Ok;364.7 V;50 W;0.022 kWh;5057 h;217 V;0.22 A;98060.178 kWh
08:10:31;05101045200;Ok;365.2 V;84 W;0.033 kWh;5057 h;217 V;0.39 A;98060.189 kWh
08:20:11;05101045200;Ok;357.4 V;152 W;0.051 kWh;5057 h;217 V;0.69 A;98060.207 kWh
