
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 2: B
 Fecha: 02.11.2021
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
14:17:18;05101045200;Err. red;351.2 V;1767 W;0.000 kWh;12327 h;221 V;8.00 A;108232.410 kWh
14:28:50;05101045200;Ok;362.6 V;2228 W;0.000 kWh;12328 h;221 V;10.1 A;108232.702 kWh
14:39:35;05101045200;Ok;356.4 V;2472 W;0.281 kWh;12328 h;222 V;11.1 A;108233.138 kWh
14:46:55;05101045200;Ok;356.9 V;2064 W;0.546 kWh;12328 h;221 V;9.31 A;108233.402 kWh
14:58:23;05101045200;Ok;368.3 V;1908 W;0.883 kWh;12328 h;221 V;8.64 A;108233.739 kWh
15:09:28;05101045200;Ok;370.9 V;1756 W;1.183 kWh;12328 h;217 V;8.06 A;108234.040 kWh
15:16:49;05101045200;Ok;365.8 V;1527 W;1.376 kWh;12328 h;218 V;7.01 A;108234.233 kWh
15:27:32;05101045200;Ok;365.8 V;990 W;1.586 kWh;12328 h;214 V;4.62 A;108234.443 kWh
15:38:06;05101045200;Ok;366.3 V;423 W;1.707 kWh;12328 h;206 V;2.06 A;108234.564 kWh
15:48:41;05101045200;Ok;370.4 V;586 W;1.803 kWh;12329 h;209 V;2.80 A;108234.660 kWh
15:59:45;05101045200;Ok;368.9 V;427 W;1.895 kWh;12329 h;209 V;2.04 A;108234.751 kWh
16:06:37;05101045200;Ok;368.9 V;419 W;1.944 kWh;12329 h;209 V;2.00 A;108234.801 kWh
16:17:17;05101045200;Ok;370.4 V;575 W;2.028 kWh;12329 h;211 V;2.74 A;108234.884 kWh
16:27:51;05101045200;Ok;368.3 V;369 W;2.094 kWh;12330 h;207 V;1.77 A;108234.950 kWh
16:38:25;05101045200;Ok;367.3 V;278 W;2.150 kWh;12330 h;209 V;1.34 A;108235.007 kWh
16:48:46;05101045200;Ok;366.3 V;187 W;2.193 kWh;12330 h;208 V;0.89 A;108235.050 kWh
