
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 3: C
 Fecha: 04.08.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:00:27;08060945838;Offline;;;;;;;
00:10:02;08060945838;Offline;;;;;;;
00:22:49;08060945838;Offline;;;;;;;
00:32:29;08060945838;Offline;;;;;;;
00:42:03;08060945838;Offline;;;;;;;
00:51:43;08060945838;Offline;;;;;;;
01:01:18;08060945838;Offline;;;;;;;
01:10:57;08060945838;Offline;;;;;;;
01:20:27;08060945838;Offline;;;;;;;
01:30:03;08060945838;Offline;;;;;;;
01:42:52;08060945838;Offline;;;;;;;
01:52:26;08060945838;Offline;;;;;;;
02:02:04;08060945838;Offline;;;;;;;
02:11:51;08060945838;Offline;;;;;;;
02:21:37;08060945838;Offline;;;;;;;
02:31:11;08060945838;Offline;;;;;;;
02:40:43;08060945838;Offline;;;;;;;
02:50:21;08060945838;Offline;;;;;;;
03:00:01;08060945838;Offline;;;;;;;
03:12:52;08060945838;Offline;;;;;;;
03:22:26;08060945838;Offline;;;;;;;
03:32:01;08060945838;Offline;;;;;;;
03:41:34;08060945838;Offline;;;;;;;
03:51:12;08060945838;Offline;;;;;;;
04:00:49;08060945838;Offline;;;;;;;
04:10:21;08060945838;Offline;;;;;;;
04:23:14;08060945838;Offline;;;;;;;
04:32:51;08060945838;Offline;;;;;;;
04:42:32;08060945838;Offline;;;;;;;
04:52:07;08060945838;Offline;;;;;;;
05:02:02;08060945838;Offline;;;;;;;
05:11:42;08060945838;Offline;;;;;;;
05:21:20;08060945838;Offline;;;;;;;
05:30:54;08060945838;Offline;;;;;;;
05:40:29;08060945838;Offline;;;;;;;
05:50:03;08060945838;Offline;;;;;;;
06:02:58;08060945838;Offline;;;;;;;
06:12:39;08060945838;Offline;;;;;;;
06:22:11;08060945838;Offline;;;;;;;
06:31:43;08060945838;Offline;;;;;;;
06:40:43;08060945838;Offline;;;;;;;
06:50:30;08060945838;Ok;199.5 V;0 W;0.000 kWh;16352 h;225 V;0.28 A;76553.916 kWh
07:02:03;08060945838;Ok;236.9 V;0 W;0.000 kWh;16352 h;227 V;0.08 A;76553.916 kWh
07:11:14;08060945838;Ok;311.2 V;64 W;0.008 kWh;16352 h;225 V;0.29 A;76553.925 kWh
07:20:28;08060945838;Ok;345.5 V;109 W;0.021 kWh;16352 h;227 V;0.48 A;76553.938 kWh
07:32:04;08060945838;Ok;346.0 V;162 W;0.048 kWh;16352 h;227 V;0.71 A;76553.964 kWh
07:41:11;08060945838;Ok;348.6 V;185 W;0.074 kWh;16352 h;229 V;0.81 A;76553.991 kWh
07:50:19;08060945838;Ok;375.6 V;203 W;0.103 kWh;16352 h;229 V;0.85 A;76554.020 kWh
08:01:49;08060945838;Ok;345.5 V;275 W;0.148 kWh;16352 h;229 V;1.21 A;76554.064 kWh
08:11:01;08060945838;Ok;290.9 V;840 W;0.263 kWh;16352 h;231 V;3.64 A;76554.179 kWh
08:20:08;08060945838;Ok;279.0 V;1431 W;0.419 kWh;16353 h;234 V;6.12 A;76554.336 kWh
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:43;;Offline;;;;;;;
08:29:48;;Ok;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:29:48;;Offline;;;;;;;
08:31:37;08060945838;Ok;297.2 V;1800 W;0.716 kWh;16353 h;236 V;7.64 A;76554.632 kWh
08:40:45;08060945838;Ok;305.0 V;1683 W;0.904 kWh;16353 h;236 V;7.14 A;76554.820 kWh
08:52:14;08060945838;Ok;323.1 V;1770 W;1.310 kWh;16353 h;236 V;7.49 A;76555.227 kWh
09:01:21;08060945838;Ok;319.5 V;2090 W;1.615 kWh;16354 h;238 V;8.79 A;76555.532 kWh
