
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 3: C
 Fecha: 28.07.2021
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:00:27;08060945838;Offline;;;;;;;
00:12:07;08060945838;Offline;;;;;;;
00:23:59;08060945838;Offline;;;;;;;
00:32:02;08060945838;Offline;;;;;;;
00:40:06;08060945838;Offline;;;;;;;
00:52:16;08060945838;Offline;;;;;;;
01:00:24;08060945838;Offline;;;;;;;
01:11:57;08060945838;Offline;;;;;;;
01:20:05;08060945838;Offline;;;;;;;
01:32:03;08060945838;Offline;;;;;;;
01:40:10;08060945838;Offline;;;;;;;
01:51:53;08060945838;Offline;;;;;;;
02:03:35;08060945838;Offline;;;;;;;
02:11:27;08060945838;Offline;;;;;;;
02:23:00;08060945838;Offline;;;;;;;
02:30:52;08060945838;Offline;;;;;;;
02:42:32;08060945838;Offline;;;;;;;
02:50:36;08060945838;Offline;;;;;;;
03:02:22;08060945838;Offline;;;;;;;
03:10:19;08060945838;Offline;;;;;;;
03:22:13;08060945838;Offline;;;;;;;
03:30:04;08060945838;Offline;;;;;;;
03:42:12;08060945838;Offline;;;;;;;
03:53:49;08060945838;Offline;;;;;;;
04:01:45;08060945838;Offline;;;;;;;
04:13:44;08060945838;Offline;;;;;;;
04:21:49;08060945838;Offline;;;;;;;
04:33:40;08060945838;Offline;;;;;;;
04:41:26;08060945838;Offline;;;;;;;
04:53:13;08060945838;Offline;;;;;;;
05:00:46;08060945838;Offline;;;;;;;
05:13:10;08060945838;Offline;;;;;;;
05:21:29;08060945838;Offline;;;;;;;
05:33:19;08060945838;Offline;;;;;;;
05:41:26;08060945838;Offline;;;;;;;
05:54:08;08060945838;Offline;;;;;;;
06:02:27;08060945838;Offline;;;;;;;
06:10:26;08060945838;Offline;;;;;;;
06:22:35;08060945838;Offline;;;;;;;
06:30:57;08060945838;Offline;;;;;;;
06:44:04;08060945838;Offline;;;;;;;
06:50:58;08060945838;Ok;130.9 V;0 W;0.000 kWh;4166 h;223 V;0.35 A;82185.270 kWh
07:00:26;08060945838;Baja tensión GS;297.7 V;0 W;0.000 kWh;4166 h;223 V;0.39 A;82185.270 kWh
07:13:20;08060945838;Ok;188.6 V;0 W;0.000 kWh;4166 h;222 V;0.18 A;82185.270 kWh
07:25:48;08060945838;Ok;188.6 V;0 W;0.000 kWh;4166 h;221 V;0.10 A;82185.270 kWh
07:32:27;08060945838;Ok;188.6 V;0 W;0.000 kWh;4166 h;221 V;0.09 A;82185.270 kWh
07:42:17;08060945838;Ok;323.1 V;124 W;0.010 kWh;4166 h;224 V;0.55 A;82185.279 kWh
07:52:16;08060945838;Ok;313.8 V;72 W;0.024 kWh;4166 h;224 V;0.31 A;82185.293 kWh
08:04:54;08060945838;Ok;323.1 V;185 W;0.055 kWh;4166 h;225 V;0.84 A;82185.324 kWh
08:11:01;08060945838;Ok;338.2 V;113 W;0.070 kWh;4166 h;224 V;0.51 A;82185.340 kWh
08:20:22;08060945838;Ok;323.1 V;169 W;0.094 kWh;4167 h;223 V;0.76 A;82185.363 kWh
08:30:12;08060945838;Ok;386.5 V;0 W;0.111 kWh;4167 h;223 V;0.00 A;82185.381 kWh
08:42:37;08060945838;Ok;348.1 V;264 W;0.163 kWh;4167 h;224 V;1.18 A;82185.433 kWh
08:51:43;08060945838;Ok;347.0 V;282 W;0.203 kWh;4167 h;224 V;1.26 A;82185.473 kWh
09:00:58;08060945838;Ok;348.1 V;346 W;0.255 kWh;4167 h;225 V;1.53 A;82185.525 kWh
09:10:19;08060945838;Ok;349.1 V;486 W;0.317 kWh;4168 h;225 V;2.16 A;82185.586 kWh
09:20:31;08060945838;Ok;343.4 V;674 W;0.414 kWh;4168 h;226 V;2.97 A;82185.683 kWh
09:32:54;08060945838;Ok;336.7 V;749 W;0.529 kWh;4168 h;227 V;3.30 A;82185.799 kWh
09:43:39;08060945838;Ok;345.5 V;1631 W;0.836 kWh;4168 h;233 V;7.07 A;82186.105 kWh
09:50:47;08060945838;Ok;333.0 V;1005 W;1.011 kWh;4168 h;230 V;4.37 A;82186.281 kWh
10:03:22;08060945838;Ok;341.3 V;614 W;1.238 kWh;4168 h;228 V;2.69 A;82186.508 kWh
10:12:15;08060945838;Ok;329.4 V;708 W;1.331 kWh;4168 h;229 V;3.10 A;82186.601 kWh
10:21:37;08060945838;Ok;320.0 V;712 W;1.477 kWh;4169 h;230 V;3.09 A;82186.747 kWh
10:30:48;08060945838;Ok;328.9 V;915 W;1.646 kWh;4169 h;231 V;3.96 A;82186.916 kWh
10:40:26;08060945838;Ok;323.7 V;1013 W;1.823 kWh;4169 h;232 V;4.37 A;82187.092 kWh
10:52:39;08060945838;Ok;335.1 V;844 W;1.991 kWh;4169 h;231 V;3.65 A;82187.261 kWh
11:01:47;08060945838;Ok;326.8 V;862 W;2.115 kWh;4169 h;232 V;3.71 A;82187.385 kWh
11:11:47;08060945838;Ok;325.7 V;828 W;2.268 kWh;4170 h;232 V;3.56 A;82187.538 kWh
11:20:57;08060945838;Ok;339.3 V;787 W;2.386 kWh;4170 h;231 V;3.42 A;82187.656 kWh
