
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 5: E
 Fecha: 01.12.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:00:44;08061345859;Offline;;;;;;;
00:01:00;AD390800244;Offline;;;;;;;
00:01:20;08060945834;Offline;;;;;;;
00:01:26;08061345843;Offline;;;;;;;
00:01:32;08060945831;Offline;;;;;;;
00:11:24;08061345859;Offline;;;;;;;
00:11:39;AD390800244;Offline;;;;;;;
00:12:00;08060945834;Offline;;;;;;;
00:12:06;08061345843;Offline;;;;;;;
00:12:12;08060945831;Offline;;;;;;;
00:20:58;08061345859;Offline;;;;;;;
00:21:30;AD390800244;Offline;;;;;;;
00:21:36;08060945834;Offline;;;;;;;
00:21:42;08061345843;Offline;;;;;;;
00:22:02;08060945831;Offline;;;;;;;
00:31:32;08061345859;Offline;;;;;;;
00:32:02;AD390800244;Offline;;;;;;;
00:32:08;08060945834;Offline;;;;;;;
00:32:14;08061345843;Offline;;;;;;;
00:32:35;08060945831;Offline;;;;;;;
00:42:09;08061345859;Offline;;;;;;;
00:42:25;AD390800244;Offline;;;;;;;
00:42:42;08060945834;Offline;;;;;;;
00:42:51;08061345843;Offline;;;;;;;
00:42:57;08060945831;Offline;;;;;;;
00:52:22;08061345859;Offline;;;;;;;
00:52:38;AD390800244;Offline;;;;;;;
00:52:58;08060945834;Offline;;;;;;;
00:53:04;08061345843;Offline;;;;;;;
00:53:10;08060945831;Offline;;;;;;;
01:02:37;08061345859;Offline;;;;;;;
01:02:52;AD390800244;Offline;;;;;;;
01:03:13;08060945834;Offline;;;;;;;
01:03:19;08061345843;Offline;;;;;;;
01:03:25;08060945831;Offline;;;;;;;
01:13:08;08061345859;Offline;;;;;;;
01:13:39;AD390800244;Offline;;;;;;;
01:13:45;08060945834;Offline;;;;;;;
01:14:07;08061345843;Offline;;;;;;;
01:14:13;08060945831;Offline;;;;;;;
01:23:25;08061345859;Offline;;;;;;;
01:23:40;AD390800244;Offline;;;;;;;
01:24:01;08060945834;Offline;;;;;;;
01:24:07;08061345843;Offline;;;;;;;
01:24:13;08060945831;Offline;;;;;;;
01:33:41;08061345859;Offline;;;;;;;
01:34:11;AD390800244;Offline;;;;;;;
01:34:17;08060945834;Offline;;;;;;;
01:34:39;08061345843;Offline;;;;;;;
01:34:45;08060945831;Offline;;;;;;;
01:44:14;08061345859;Offline;;;;;;;
01:44:29;AD390800244;Offline;;;;;;;
01:44:50;08060945834;Offline;;;;;;;
01:44:57;08061345843;Offline;;;;;;;
01:45:03;08060945831;Offline;;;;;;;
01:50:17;08061345843;Offline;;;;;;;
01:50:19;08060945831;Offline;;;;;;;
01:54:49;08061345859;Offline;;;;;;;
01:55:05;AD390800244;Offline;;;;;;;
01:55:25;08060945834;Offline;;;;;;;
02:00:09;08061345859;Offline;;;;;;;
02:00:25;AD390800244;Offline;;;;;;;
02:00:45;08060945834;Offline;;;;;;;
02:00:51;08061345843;Offline;;;;;;;
02:00:57;08060945831;Offline;;;;;;;
02:10:30;08061345859;Offline;;;;;;;
02:11:09;AD390800244;Offline;;;;;;;
02:11:15;08060945834;Offline;;;;;;;
02:11:21;08061345843;Offline;;;;;;;
02:11:42;08060945831;Offline;;;;;;;
02:20:55;08061345859;Offline;;;;;;;
02:21:11;AD390800244;Offline;;;;;;;
02:21:17;08060945834;Offline;;;;;;;
02:21:37;08061345843;Offline;;;;;;;
02:21:43;08060945831;Offline;;;;;;;
02:30:58;08061345859;Offline;;;;;;;
02:31:14;AD390800244;Offline;;;;;;;
02:31:34;08060945834;Offline;;;;;;;
02:31:40;08061345843;Offline;;;;;;;
02:31:46;08060945831;Offline;;;;;;;
02:40:48;08061345859;Offline;;;;;;;
02:41:03;AD390800244;Offline;;;;;;;
02:41:25;08060945834;Offline;;;;;;;
02:41:31;08061345843;Offline;;;;;;;
02:41:37;08060945831;Offline;;;;;;;
02:51:07;08061345859;Offline;;;;;;;
02:51:23;AD390800244;Offline;;;;;;;
02:51:43;08060945834;Offline;;;;;;;
02:51:49;08061345843;Offline;;;;;;;
02:51:55;08060945831;Offline;;;;;;;
03:01:24;08061345859;Offline;;;;;;;
03:01:40;AD390800244;Offline;;;;;;;
03:02:02;08060945834;Offline;;;;;;;
03:02:08;08061345843;Offline;;;;;;;
03:02:14;08060945831;Offline;;;;;;;
03:12:00;08061345859;Offline;;;;;;;
03:12:15;AD390800244;Offline;;;;;;;
03:12:36;08060945834;Offline;;;;;;;
03:12:43;08061345843;Offline;;;;;;;
03:12:49;08060945831;Offline;;;;;;;
03:22:18;08061345859;Offline;;;;;;;
03:22:48;AD390800244;Offline;;;;;;;
03:22:54;08060945834;Offline;;;;;;;
03:23:16;08061345843;Offline;;;;;;;
03:23:22;08060945831;Offline;;;;;;;
03:32:29;08061345859;Offline;;;;;;;
03:32:45;AD390800244;Offline;;;;;;;
03:33:05;08060945834;Offline;;;;;;;
03:33:11;08061345843;Offline;;;;;;;
03:33:17;08060945831;Offline;;;;;;;
03:43:01;08061345859;Offline;;;;;;;
03:43:17;AD390800244;Offline;;;;;;;
03:43:37;08060945834;Offline;;;;;;;
03:43:43;08061345843;Offline;;;;;;;
03:43:49;08060945831;Offline;;;;;;;
03:53:18;08061345859;Offline;;;;;;;
03:53:48;AD390800244;Offline;;;;;;;
03:53:54;08060945834;Offline;;;;;;;
03:54:16;08061345843;Offline;;;;;;;
03:54:22;08060945831;Offline;;;;;;;
04:03:37;08061345859;Offline;;;;;;;
04:04:07;AD390800244;Offline;;;;;;;
04:04:13;08060945834;Offline;;;;;;;
04:04:34;08061345843;Offline;;;;;;;
04:04:40;08060945831;Offline;;;;;;;
04:13:25;08061345859;Offline;;;;;;;
04:13:41;AD390800244;Offline;;;;;;;
04:14:01;08060945834;Offline;;;;;;;
04:14:07;08061345843;Offline;;;;;;;
04:14:13;08060945831;Offline;;;;;;;
04:23:57;08061345859;Offline;;;;;;;
04:24:12;AD390800244;Offline;;;;;;;
04:24:34;08060945834;Offline;;;;;;;
04:24:40;08061345843;Offline;;;;;;;
04:24:46;08060945831;Offline;;;;;;;
04:34:13;08061345859;Offline;;;;;;;
04:34:28;AD390800244;Offline;;;;;;;
04:34:50;08060945834;Offline;;;;;;;
04:34:56;08061345843;Offline;;;;;;;
04:35:02;08060945831;Offline;;;;;;;
04:40:12;08061345843;Offline;;;;;;;
04:40:18;08060945831;Offline;;;;;;;
04:44:29;08061345859;Offline;;;;;;;
04:44:44;AD390800244;Offline;;;;;;;
04:45:06;08060945834;Offline;;;;;;;
04:50:07;08060945834;Offline;;;;;;;
04:50:25;08061345843;Offline;;;;;;;
04:50:34;08060945831;Offline;;;;;;;
04:54:45;08061345859;Offline;;;;;;;
04:55:00;AD390800244;Offline;;;;;;;
05:00:18;AD390800244;Offline;;;;;;;
05:00:24;08060945834;Offline;;;;;;;
05:00:44;08061345843;Offline;;;;;;;
05:00:50;08060945831;Offline;;;;;;;
05:05:01;08061345859;Offline;;;;;;;
05:10:16;08061345859;Offline;;;;;;;
05:10:34;AD390800244;Offline;;;;;;;
05:10:40;08060945834;Offline;;;;;;;
05:11:00;08061345843;Offline;;;;;;;
05:11:06;08060945831;Offline;;;;;;;
05:20:33;08061345859;Offline;;;;;;;
05:20:49;AD390800244;Offline;;;;;;;
05:20:55;08060945834;Offline;;;;;;;
05:21:15;08061345843;Offline;;;;;;;
