
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 5: E
 Fecha: 07.09.2021
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:00:26;08061345859;Offline;;;;;;;
00:00:47;AD390800244;Offline;;;;;;;
00:00:54;08060945834;Offline;;;;;;;
00:01:07;08061345843;Offline;;;;;;;
00:01:13;08060945831;Offline;;;;;;;
00:10:50;08061345859;Offline;;;;;;;
00:11:12;AD390800244;Offline;;;;;;;
00:11:18;08060945834;Offline;;;;;;;
00:11:31;08061345843;Offline;;;;;;;
00:11:37;08060945831;Offline;;;;;;;
00:21:08;08061345859;Offline;;;;;;;
00:21:33;AD390800244;Offline;;;;;;;
00:21:47;08060945834;Offline;;;;;;;
00:21:58;08061345843;Offline;;;;;;;
00:22:06;08060945831;Offline;;;;;;;
00:32:25;AD390800244;Offline;;;;;;;
00:32:38;08060945834;Offline;;;;;;;
00:32:44;08061345843;Offline;;;;;;;
00:32:50;08060945831;Offline;;;;;;;
00:37:19;08061345859;Offline;;;;;;;
00:42:47;08061345859;Offline;;;;;;;
00:43:10;AD390800244;Offline;;;;;;;
00:43:22;08060945834;Offline;;;;;;;
00:43:28;08061345843;Offline;;;;;;;
00:43:34;08060945831;Offline;;;;;;;
00:53:26;08061345859;Offline;;;;;;;
00:53:49;AD390800244;Offline;;;;;;;
00:53:55;08060945834;Offline;;;;;;;
00:54:06;08061345843;Offline;;;;;;;
00:54:12;08060945831;Offline;;;;;;;
01:03:56;08061345859;Offline;;;;;;;
01:04:11;AD390800244;Offline;;;;;;;
01:04:22;08060945834;Offline;;;;;;;
01:04:28;08061345843;Offline;;;;;;;
01:04:35;08060945831;Offline;;;;;;;
01:14:18;08061345859;Offline;;;;;;;
01:14:43;AD390800244;Offline;;;;;;;
01:14:57;08060945834;Offline;;;;;;;
01:15:03;08061345843;Offline;;;;;;;
01:15:15;08060945831;Offline;;;;;;;
01:20:10;AD390800244;Offline;;;;;;;
01:20:16;08060945834;Offline;;;;;;;
01:20:30;08061345843;Offline;;;;;;;
01:20:36;08060945831;Offline;;;;;;;
01:25:18;08061345859;Offline;;;;;;;
01:30:28;08061345859;Offline;;;;;;;
01:30:50;AD390800244;Offline;;;;;;;
01:30:56;08060945834;Offline;;;;;;;
01:31:09;08061345843;Offline;;;;;;;
01:31:15;08060945831;Offline;;;;;;;
01:41:01;AD390800244;Offline;;;;;;;
01:41:07;08060945834;Offline;;;;;;;
01:41:19;08061345843;Offline;;;;;;;
01:41:25;08060945831;Offline;;;;;;;
01:46:03;08061345859;Offline;;;;;;;
01:51:11;08061345859;Offline;;;;;;;
01:51:33;AD390800244;Offline;;;;;;;
01:51:39;08060945834;Offline;;;;;;;
01:51:52;08061345843;Offline;;;;;;;
