
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 5: E
 Fecha: 15.07.2020
********************************************************

Tiempo;No. de serie;Estado;Posición;FV este;FV oeste;FV abajo;Viento;Interruptor;Tracción
00:00:09;76100800584;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:00:15;76100800558;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:00:21;76100800571;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:00:27;76150801191;Reposo;A:298.6° / E:87.0°;;;;2 km/h;Horizontal;Detenido
00:00:28;76150801127;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:00:29;76151017635;Reposo;A:298.6° / E:87.0°;;;;4 km/h;Horizontal;Detenido
00:02:47;76120800900;Reposo;A:298.6° / E:87.0°;7 W/m2;7 W/m2;10 W/m2;6 km/h;Horizontal;Detenido
00:02:48;76100800575;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:02:54;76150801156;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:02:55;76100800598;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:02:56;76100800602;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:02:57;76100800599;Reposo;A:298.6° / E:87.0°;;;;3 km/h;Horizontal;Detenido
00:02:58;76150801147;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:03:00;76150801133;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:03:01;76150801187;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:03:02;76150801180;Reposo;A:298.6° / E:87.0°;;;;5 km/h;Horizontal;Detenido
00:03:03;76150801164;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:11:42;76120800900;Reposo;A:298.6° / E:87.0°;7 W/m2;7 W/m2;10 W/m2;6 km/h;Horizontal;Detenido
00:11:50;76150801156;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:11:52;76100800602;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:11:54;76100800599;Reposo;A:298.6° / E:87.0°;;;;4 km/h;Horizontal;Detenido
00:11:55;76150801147;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:11:56;76150801133;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:11:58;76150801187;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:11:59;76150801180;Reposo;;;;;6 km/h;Horizontal;Detenido
00:12:01;76150801164;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:12:06;76100800584;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:12:12;76100800558;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:12:19;76100800571;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:12:24;76150801191;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:12:25;76150801127;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:12:26;76151017635;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:14:42;76100800575;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:14:50;76100800598;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:37;76120800900;Reposo;A:298.6° / E:87.0°;7 W/m2;7 W/m2;10 W/m2;7 km/h;Horizontal;Detenido
00:20:38;76100800575;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:44;76150801156;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:46;76100800598;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:47;76100800602;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:49;76100800599;Reposo;A:298.6° / E:87.0°;;;;6 km/h;Horizontal;Detenido
00:20:50;76150801147;Reposo;A:298.6° / E:87.0°;;;;4 km/h;Horizontal;Detenido
00:20:51;76150801133;Reposo;A:298.6° / E:87.0°;;;;0 km/h;Horizontal;Detenido
00:20:52;76150801187;Reposo;A:298.6° / E:87.0°;;;;7 km/h;Horizontal;Detenido
