
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 5: E
 Fecha: 22.11.2021
********************************************************

Tiempo;No. de serie;Estado;Posición;FV este;FV oeste;FV abajo;Viento;Interruptor;Tracción

********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 5: E
 Fecha: 22.11.2021
********************************************************

Tiempo;No. de serie;Estado;Posición;FV este;FV oeste;FV abajo;Viento;Interruptor;Tracción
18:05:22;76120800900;Carrera de ref.;;27 W/m2;10 W/m2;28 W/m2;0 km/h;Horizontal;Este (R)
18:05:23;76100800575;Carrera de ref.;;7 W/m2;10 W/m2;7 W/m2;0 km/h;Horizontal;Este (R)
18:05:37;76150801156;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;26 km/h;Horizontal;Este (R)
18:05:38;76100800598;Carrera de ref.;;10 W/m2;7 W/m2;7 W/m2;19 km/h;Horizontal;Este (R)
18:05:50;76100800602;Carrera de ref.;;7 W/m2;7 W/m2;10 W/m2;21 km/h;Horizontal;Este (R)
18:05:51;76100800599;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;7 km/h;Horizontal;Este (R)
18:05:52;76150801147;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;20 km/h;Horizontal;Este (R)
18:05:53;76150801133;Carrera de ref.;;10 W/m2;7 W/m2;10 W/m2;19 km/h;Horizontal;Este (R)
18:06:05;76150801187;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;22 km/h;Horizontal;Este (R)
18:06:07;76150801180;Carrera de ref.;;10 W/m2;7 W/m2;10 W/m2;23 km/h;Horizontal;Este (R)
18:06:09;76150801164;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;24 km/h;Horizontal;Este (R)
18:06:26;76100800584;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;0 km/h;Horizontal;Este (R)
18:06:48;76100800558;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;22 km/h;Horizontal;Este (R)
18:06:54;76100800571;Carrera de ref.;;10 W/m2;10 W/m2;7 W/m2;0 km/h;Horizontal;Este (R)
18:07:21;76150801191;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;13 km/h;Horizontal;Este (R)
18:07:23;76150801127;Error enum.;;;;;;;
18:07:31;76151017635;Carrera de ref.;;10 W/m2;10 W/m2;10 W/m2;20 km/h;Horizontal;Este (R)
