
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 6: F
 Fecha: 07.06.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:03:57;07032345769;Offline;;;;;;;
00:04:20;06102045606;Offline;;;;;;;
00:10:36;07032345769;Offline;;;;;;;
00:10:45;06102045606;Offline;;;;;;;
00:21:01;07032345769;Offline;;;;;;;
00:21:09;06102045606;Offline;;;;;;;
00:32:36;07032345769;Offline;;;;;;;
00:32:59;06102045606;Offline;;;;;;;
00:44:13;07032345769;Offline;;;;;;;
00:44:36;06102045606;Offline;;;;;;;
00:50:29;06102045606;Offline;;;;;;;
00:55:45;07032345769;Offline;;;;;;;
01:00:29;07032345769;Offline;;;;;;;
01:00:37;06102045606;Offline;;;;;;;
01:11:10;07032345769;Offline;;;;;;;
01:11:33;06102045606;Offline;;;;;;;
01:22:49;07032345769;Offline;;;;;;;
01:23:12;06102045606;Offline;;;;;;;
01:33:47;07032345769;Offline;;;;;;;
01:34:09;06102045606;Offline;;;;;;;
01:45:26;07032345769;Offline;;;;;;;
01:45:48;06102045606;Offline;;;;;;;
01:51:06;07032345769;Offline;;;;;;;
01:51:15;06102045606;Offline;;;;;;;
02:01:55;07032345769;Offline;;;;;;;
02:02:18;06102045606;Offline;;;;;;;
02:13:39;07032345769;Offline;;;;;;;
02:14:02;06102045606;Offline;;;;;;;
02:24:36;07032345769;Offline;;;;;;;
02:24:58;06102045606;Offline;;;;;;;
02:30:25;07032345769;Offline;;;;;;;
02:30:47;06102045606;Offline;;;;;;;
02:41:58;07032345769;Offline;;;;;;;
02:42:06;06102045606;Offline;;;;;;;
02:51:39;07032345769;Offline;;;;;;;
02:52:00;06102045606;Offline;;;;;;;
03:02:55;07032345769;Offline;;;;;;;
03:03:18;06102045606;Offline;;;;;;;
03:14:25;07032345769;Offline;;;;;;;
03:14:34;06102045606;Offline;;;;;;;
03:25:14;07032345769;Offline;;;;;;;
03:25:36;06102045606;Offline;;;;;;;
03:31:20;07032345769;Offline;;;;;;;
03:31:42;06102045606;Offline;;;;;;;
03:42:46;07032345769;Offline;;;;;;;
03:42:54;06102045606;Offline;;;;;;;
03:54:09;07032345769;Offline;;;;;;;
03:54:32;06102045606;Offline;;;;;;;
04:00:25;06102045606;Offline;;;;;;;
04:05:41;07032345769;Offline;;;;;;;
04:10:26;07032345769;Offline;;;;;;;
04:10:34;06102045606;Offline;;;;;;;
04:20:46;07032345769;Offline;;;;;;;
04:21:08;06102045606;Offline;;;;;;;
04:32:33;07032345769;Offline;;;;;;;
04:32:54;06102045606;Offline;;;;;;;
04:44:03;07032345769;Offline;;;;;;;
04:44:12;06102045606;Offline;;;;;;;
04:54:45;07032345769;Offline;;;;;;;
04:55:07;06102045606;Offline;;;;;;;
05:00:23;07032345769;Offline;;;;;;;
05:00:30;06102045606;Offline;;;;;;;
05:10:35;07032345769;Offline;;;;;;;
05:10:44;06102045606;Offline;;;;;;;
05:22:48;07032345769;Offline;;;;;;;
05:23:09;06102045606;Offline;;;;;;;
05:33:56;07032345769;Offline;;;;;;;
05:34:04;06102045606;Offline;;;;;;;
05:44:28;07032345769;Offline;;;;;;;
05:44:37;06102045606;Offline;;;;;;;
05:55:45;07032345769;Offline;;;;;;;
05:55:52;06102045606;Offline;;;;;;;
06:01:53;07032345769;Offline;;;;;;;
06:02:01;06102045606;Offline;;;;;;;
06:13:22;07032345769;Offline;;;;;;;
06:13:30;06102045606;Offline;;;;;;;
06:25:10;07032345769;Err. interno;265.5 V;0 W;0.000 kWh;865 h;224 V;0.55 A;107461.216 kWh
06:25:18;06102045606;Offline;;;;;;;
06:34:38;07032345769;Ok;258.7 V;0 W;0.000 kWh;865 h;224 V;0.54 A;107461.216 kWh
06:34:43;06102045606;Ok;185.0 V;0 W;0.000 kWh;6315 h;224 V;0.00 A;117243.569 kWh
06:44:06;07032345769;Ok;259.2 V;53 W;0.000 kWh;865 h;226 V;0.24 A;107461.222 kWh
06:44:10;06102045606;Ok;185.0 V;0 W;0.000 kWh;6315 h;225 V;0.00 A;117243.569 kWh
06:53:17;07032345769;Ok;320.0 V;152 W;0.014 kWh;865 h;226 V;0.67 A;107461.235 kWh
06:53:21;06102045606;Ok;231.2 V;71 W;0.000 kWh;6315 h;226 V;0.31 A;117243.579 kWh
07:03:54;07032345769;Ok;310.7 V;106 W;0.032 kWh;865 h;226 V;0.47 A;107461.254 kWh
07:03:57;06102045606;Ok;254.6 V;63 W;0.010 kWh;6315 h;226 V;0.28 A;117243.589 kWh
07:10:10;07032345769;Ok;314.8 V;258 W;0.049 kWh;866 h;226 V;1.14 A;107461.270 kWh
07:10:14;06102045606;Ok;323.7 V;208 W;0.020 kWh;6315 h;226 V;0.92 A;117243.599 kWh
07:24:00;07032345769;Ok;366.8 V;114 W;0.089 kWh;866 h;226 V;0.50 A;107461.311 kWh
07:24:04;06102045606;Ok;268.1 V;67 W;0.048 kWh;6316 h;225 V;0.28 A;117243.627 kWh
07:32:56;07032345769;Ok;367.8 V;213 W;0.114 kWh;866 h;226 V;0.96 A;107461.336 kWh
07:32:59;06102045606;Ok;295.6 V;118 W;0.062 kWh;6316 h;226 V;0.54 A;117243.640 kWh
07:42:01;07032345769;Ok;352.8 V;395 W;0.146 kWh;866 h;226 V;1.74 A;107461.368 kWh
07:42:04;06102045606;Ok;305.0 V;251 W;0.079 kWh;6316 h;226 V;1.11 A;117243.658 kWh
07:51:02;07032345769;Ok;361.6 V;342 W;0.218 kWh;866 h;226 V;1.52 A;107461.440 kWh
07:51:06;06102045606;Ok;300.8 V;196 W;0.129 kWh;6316 h;225 V;0.88 A;117243.707 kWh
08:00:40;07032345769;Ok;314.8 V;152 W;0.253 kWh;866 h;225 V;0.67 A;107461.475 kWh
08:00:43;06102045606;Ok;286.3 V;71 W;0.146 kWh;6316 h;225 V;0.30 A;117243.725 kWh
08:12:23;07032345769;Ok;337.7 V;175 W;0.285 kWh;866 h;226 V;0.77 A;107461.507 kWh
08:12:27;06102045606;Ok;314.3 V;79 W;0.162 kWh;6316 h;226 V;0.35 A;117243.740 kWh
08:22:59;07032345769;Ok;338.2 V;156 W;0.320 kWh;867 h;226 V;0.69 A;107461.542 kWh
