
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 6: F
 Fecha: 28.12.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:04:31;07032345769;Offline;;;;;;;
00:04:39;06102045606;Offline;;;;;;;
00:15:22;07032345769;Offline;;;;;;;
00:15:29;06102045606;Offline;;;;;;;
00:20:47;07032345769;Offline;;;;;;;
00:20:54;06102045606;Offline;;;;;;;
00:31:56;07032345769;Offline;;;;;;;
00:32:03;06102045606;Offline;;;;;;;
00:42:41;07032345769;Offline;;;;;;;
00:42:48;06102045606;Offline;;;;;;;
00:53:37;07032345769;Offline;;;;;;;
00:53:44;06102045606;Offline;;;;;;;
01:04:29;07032345769;Offline;;;;;;;
01:04:36;06102045606;Offline;;;;;;;
01:15:21;07032345769;Offline;;;;;;;
01:15:28;06102045606;Offline;;;;;;;
01:20:46;07032345769;Offline;;;;;;;
01:20:53;06102045606;Offline;;;;;;;
01:31:49;07032345769;Offline;;;;;;;
01:31:56;06102045606;Offline;;;;;;;
01:42:13;07032345769;Offline;;;;;;;
01:42:19;06102045606;Offline;;;;;;;
01:53:04;07032345769;Offline;;;;;;;
01:53:11;06102045606;Offline;;;;;;;
02:03:56;07032345769;Offline;;;;;;;
02:04:03;06102045606;Offline;;;;;;;
02:15:16;07032345769;Offline;;;;;;;
02:15:23;06102045606;Offline;;;;;;;
02:20:42;07032345769;Offline;;;;;;;
02:20:49;06102045606;Offline;;;;;;;
02:31:31;07032345769;Offline;;;;;;;
02:31:40;06102045606;Offline;;;;;;;
02:42:45;07032345769;Offline;;;;;;;
02:42:52;06102045606;Offline;;;;;;;
02:53:36;07032345769;Offline;;;;;;;
02:53:43;06102045606;Offline;;;;;;;
03:04:28;07032345769;Offline;;;;;;;
03:04:35;06102045606;Offline;;;;;;;
03:15:19;07032345769;Offline;;;;;;;
03:15:26;06102045606;Offline;;;;;;;
03:20:44;07032345769;Offline;;;;;;;
03:20:51;06102045606;Offline;;;;;;;
03:31:53;07032345769;Offline;;;;;;;
03:32:00;06102045606;Offline;;;;;;;
03:42:49;07032345769;Offline;;;;;;;
03:42:56;06102045606;Offline;;;;;;;
03:53:41;07032345769;Offline;;;;;;;
03:53:48;06102045606;Offline;;;;;;;
04:04:34;07032345769;Offline;;;;;;;
04:04:41;06102045606;Offline;;;;;;;
04:10:07;06102045606;Offline;;;;;;;
04:15:28;07032345769;Offline;;;;;;;
04:20:53;07032345769;Offline;;;;;;;
04:21:01;06102045606;Offline;;;;;;;
04:32:02;07032345769;Offline;;;;;;;
04:32:09;06102045606;Offline;;;;;;;
04:42:29;07032345769;Offline;;;;;;;
04:42:39;06102045606;Offline;;;;;;;
04:53:26;07032345769;Offline;;;;;;;
04:53:33;06102045606;Offline;;;;;;;
05:04:18;07032345769;Offline;;;;;;;
05:04:25;06102045606;Offline;;;;;;;
05:15:10;07032345769;Offline;;;;;;;
05:15:17;06102045606;Offline;;;;;;;
05:20:34;07032345769;Offline;;;;;;;
05:20:41;06102045606;Offline;;;;;;;
