
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 6: F
 Fecha: 26.06.2021
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:04:05;07032345769;Offline;;;;;;;
00:04:12;06102045606;Offline;;;;;;;
00:13:34;07032345769;Offline;;;;;;;
00:13:41;06102045606;Offline;;;;;;;
00:22:37;07032345769;Offline;;;;;;;
00:22:44;06102045606;Offline;;;;;;;
00:31:56;07032345769;Offline;;;;;;;
00:32:03;06102045606;Offline;;;;;;;
00:40:50;07032345769;Offline;;;;;;;
00:40:58;06102045606;Offline;;;;;;;
00:54:22;07032345769;Offline;;;;;;;
00:54:29;06102045606;Offline;;;;;;;
01:03:27;07032345769;Offline;;;;;;;
01:03:35;06102045606;Offline;;;;;;;
01:12:27;07032345769;Offline;;;;;;;
01:12:34;06102045606;Offline;;;;;;;
01:21:26;07032345769;Offline;;;;;;;
01:21:34;06102045606;Offline;;;;;;;
01:30:26;07032345769;Offline;;;;;;;
01:30:34;06102045606;Offline;;;;;;;
01:43:52;07032345769;Offline;;;;;;;
01:44:00;06102045606;Offline;;;;;;;
01:52:49;07032345769;Offline;;;;;;;
01:52:57;06102045606;Offline;;;;;;;
02:02:07;07032345769;Offline;;;;;;;
02:02:14;06102045606;Offline;;;;;;;
02:11:23;07032345769;Offline;;;;;;;
02:11:35;06102045606;Offline;;;;;;;
02:20:48;07032345769;Offline;;;;;;;
02:21:02;06102045606;Offline;;;;;;;
02:34:13;07032345769;Offline;;;;;;;
02:34:28;06102045606;Offline;;;;;;;
02:43:12;07032345769;Offline;;;;;;;
02:43:26;06102045606;Offline;;;;;;;
02:52:23;07032345769;Offline;;;;;;;
02:52:30;06102045606;Offline;;;;;;;
03:01:17;07032345769;Offline;;;;;;;
03:01:24;06102045606;Offline;;;;;;;
03:10:11;07032345769;Offline;;;;;;;
03:10:18;06102045606;Offline;;;;;;;
03:23:31;07032345769;Offline;;;;;;;
03:23:38;06102045606;Offline;;;;;;;
03:32:24;07032345769;Offline;;;;;;;
03:32:31;06102045606;Offline;;;;;;;
03:41:17;07032345769;Offline;;;;;;;
03:41:25;06102045606;Offline;;;;;;;
03:50:12;07032345769;Offline;;;;;;;
03:50:19;06102045606;Offline;;;;;;;
04:03:38;07032345769;Offline;;;;;;;
04:03:45;06102045606;Offline;;;;;;;
04:12:32;07032345769;Offline;;;;;;;
04:12:40;06102045606;Offline;;;;;;;
04:21:27;07032345769;Offline;;;;;;;
04:21:34;06102045606;Offline;;;;;;;
04:30:23;07032345769;Offline;;;;;;;
04:30:30;06102045606;Offline;;;;;;;
04:43:35;07032345769;Offline;;;;;;;
04:43:49;06102045606;Offline;;;;;;;
04:52:34;07032345769;Offline;;;;;;;
04:52:42;06102045606;Offline;;;;;;;
05:01:23;07032345769;Offline;;;;;;;
05:01:30;06102045606;Offline;;;;;;;
