
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 7: G
 Fecha: 04.07.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:01:56;08061345842;Offline;;;;;;;
00:02:07;06102045603;Offline;;;;;;;
00:02:14;08061345860;Offline;;;;;;;
00:12:16;08061345842;Offline;;;;;;;
00:12:23;06102045603;Offline;;;;;;;
00:12:30;08061345860;Offline;;;;;;;
00:22:33;08061345842;Offline;;;;;;;
00:22:45;06102045603;Offline;;;;;;;
00:22:52;08061345860;Offline;;;;;;;
00:32:53;08061345842;Offline;;;;;;;
00:33:02;06102045603;Offline;;;;;;;
00:33:09;08061345860;Offline;;;;;;;
00:43:13;08061345842;Offline;;;;;;;
00:43:26;06102045603;Offline;;;;;;;
00:43:33;08061345860;Offline;;;;;;;
00:50:19;06102045603;Offline;;;;;;;
00:50:26;08061345860;Offline;;;;;;;
00:53:35;08061345842;Offline;;;;;;;
01:00:29;08061345842;Offline;;;;;;;
01:00:37;06102045603;Offline;;;;;;;
01:00:45;08061345860;Offline;;;;;;;
01:10:49;08061345842;Offline;;;;;;;
01:11:01;06102045603;Offline;;;;;;;
01:11:08;08061345860;Offline;;;;;;;
01:21:09;08061345842;Offline;;;;;;;
01:21:18;06102045603;Offline;;;;;;;
01:21:25;08061345860;Offline;;;;;;;
01:31:31;08061345842;Offline;;;;;;;
01:31:43;06102045603;Offline;;;;;;;
01:31:51;08061345860;Offline;;;;;;;
01:41:53;08061345842;Offline;;;;;;;
01:42:02;06102045603;Offline;;;;;;;
01:42:09;08061345860;Offline;;;;;;;
01:52:13;08061345842;Offline;;;;;;;
01:52:26;06102045603;Offline;;;;;;;
01:52:33;08061345860;Offline;;;;;;;
02:02:39;08061345842;Offline;;;;;;;
02:02:47;06102045603;Offline;;;;;;;
02:02:54;08061345860;Offline;;;;;;;
02:13:05;08061345842;Offline;;;;;;;
02:13:18;06102045603;Offline;;;;;;;
02:13:25;08061345860;Offline;;;;;;;
02:20:14;06102045603;Offline;;;;;;;
02:20:21;08061345860;Offline;;;;;;;
02:23:31;08061345842;Offline;;;;;;;
02:30:24;08061345842;Offline;;;;;;;
02:30:32;06102045603;Offline;;;;;;;
02:30:39;08061345860;Offline;;;;;;;
02:40:41;08061345842;Offline;;;;;;;
02:40:53;06102045603;Offline;;;;;;;
