
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 7: G
 Fecha: 21.05.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:01:58;08061345842;Offline;;;;;;;
00:02:27;06102045603;Offline;;;;;;;
00:02:37;08061345860;Offline;;;;;;;
00:13:49;08061345842;Offline;;;;;;;
00:14:13;06102045603;Offline;;;;;;;
00:14:23;08061345860;Offline;;;;;;;
00:25:10;08061345842;Offline;;;;;;;
00:25:34;06102045603;Offline;;;;;;;
00:25:44;08061345860;Offline;;;;;;;
00:30:47;08061345842;Offline;;;;;;;
00:31:11;06102045603;Offline;;;;;;;
00:31:21;08061345860;Offline;;;;;;;
00:42:15;08061345842;Offline;;;;;;;
00:42:20;06102045603;Offline;;;;;;;
00:42:49;08061345860;Offline;;;;;;;
00:54:29;08061345842;Offline;;;;;;;
00:54:53;06102045603;Offline;;;;;;;
00:55:03;08061345860;Offline;;;;;;;
01:00:08;08061345842;Offline;;;;;;;
01:00:33;06102045603;Offline;;;;;;;
01:00:42;08061345860;Offline;;;;;;;
01:12:20;08061345842;Offline;;;;;;;
01:12:43;06102045603;Offline;;;;;;;
01:12:56;08061345860;Offline;;;;;;;
01:24:31;08061345842;Offline;;;;;;;
01:24:56;06102045603;Offline;;;;;;;
01:25:05;08061345860;Offline;;;;;;;
01:30:37;08061345842;Offline;;;;;;;
01:31:01;06102045603;Offline;;;;;;;
01:31:11;08061345860;Offline;;;;;;;
01:41:56;08061345842;Offline;;;;;;;
01:42:24;06102045603;Offline;;;;;;;
01:42:31;08061345860;Offline;;;;;;;
01:54:19;08061345842;Offline;;;;;;;
01:54:43;06102045603;Offline;;;;;;;
01:54:53;08061345860;Offline;;;;;;;
02:00:21;06102045603;Offline;;;;;;;
02:00:31;08061345860;Offline;;;;;;;
02:05:41;08061345842;Offline;;;;;;;
02:11:48;08061345842;Offline;;;;;;;
02:12:17;06102045603;Offline;;;;;;;
02:12:23;08061345860;Offline;;;;;;;
02:24:10;08061345842;Offline;;;;;;;
02:24:34;06102045603;Offline;;;;;;;
02:24:43;08061345860;Offline;;;;;;;
02:30:11;08061345842;Offline;;;;;;;
02:30:35;06102045603;Offline;;;;;;;
02:30:45;08061345860;Offline;;;;;;;
02:42:18;08061345842;Offline;;;;;;;
02:42:41;06102045603;Offline;;;;;;;
02:42:51;08061345860;Offline;;;;;;;
02:54:31;08061345842;Offline;;;;;;;
02:54:55;06102045603;Offline;;;;;;;
02:55:05;08061345860;Offline;;;;;;;
03:00:09;08061345842;Offline;;;;;;;
03:00:33;06102045603;Offline;;;;;;;
03:00:43;08061345860;Offline;;;;;;;
03:11:49;08061345842;Offline;;;;;;;
03:12:17;06102045603;Offline;;;;;;;
03:12:23;08061345860;Offline;;;;;;;
03:24:05;08061345842;Offline;;;;;;;
03:24:29;06102045603;Offline;;;;;;;
03:24:38;08061345860;Offline;;;;;;;
03:30:10;08061345842;Offline;;;;;;;
03:30:34;06102045603;Offline;;;;;;;
03:30:44;08061345860;Offline;;;;;;;
03:41:56;08061345842;Offline;;;;;;;
03:42:24;06102045603;Offline;;;;;;;
03:42:30;08061345860;Offline;;;;;;;
03:53:45;08061345842;Offline;;;;;;;
03:54:12;06102045603;Offline;;;;;;;
03:54:21;08061345860;Offline;;;;;;;
04:00:13;06102045603;Offline;;;;;;;
04:00:22;08061345860;Offline;;;;;;;
04:05:57;08061345842;Offline;;;;;;;
04:12:02;08061345842;Offline;;;;;;;
04:12:26;06102045603;Offline;;;;;;;
04:12:36;08061345860;Offline;;;;;;;
04:23:52;08061345842;Offline;;;;;;;
04:24:16;06102045603;Offline;;;;;;;
04:24:26;08061345860;Offline;;;;;;;
04:35:13;08061345842;Offline;;;;;;;
04:35:37;06102045603;Offline;;;;;;;
04:35:47;08061345860;Offline;;;;;;;
04:40:51;08061345842;Offline;;;;;;;
04:41:15;06102045603;Offline;;;;;;;
04:41:25;08061345860;Offline;;;;;;;
04:52:41;08061345842;Offline;;;;;;;
04:53:05;06102045603;Offline;;;;;;;
04:53:15;08061345860;Offline;;;;;;;
05:04:02;08061345842;Offline;;;;;;;
05:04:26;06102045603;Offline;;;;;;;
05:04:36;08061345860;Offline;;;;;;;
05:10:17;08061345860;Offline;;;;;;;
05:16:02;08061345842;Offline;;;;;;;
05:16:26;06102045603;Offline;;;;;;;
05:22:02;08061345842;Offline;;;;;;;
