
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 8: H
 Fecha: 04.09.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:02:41;08061345848;Offline;;;;;;;
00:02:47;08062045867;Offline;;;;;;;
00:02:54;08061345856;Offline;;;;;;;
00:12:00;08061345848;Offline;;;;;;;
00:12:07;08062045867;Offline;;;;;;;
00:12:12;08061345856;Offline;;;;;;;
00:21:22;08061345848;Offline;;;;;;;
00:21:28;08062045867;Offline;;;;;;;
00:21:34;08061345856;Offline;;;;;;;
00:30:43;08061345848;Offline;;;;;;;
00:30:49;08062045867;Offline;;;;;;;
00:30:56;08061345856;Offline;;;;;;;
00:40:05;08061345848;Offline;;;;;;;
00:40:11;08062045867;Offline;;;;;;;
00:40:18;08061345856;Offline;;;;;;;
00:52:29;08061345848;Offline;;;;;;;
00:52:36;08062045867;Offline;;;;;;;
00:52:41;08061345856;Offline;;;;;;;
01:01:51;08061345848;Offline;;;;;;;
01:01:57;08062045867;Offline;;;;;;;
01:02:03;08061345856;Offline;;;;;;;
01:11:07;08061345848;Offline;;;;;;;
01:11:13;08062045867;Offline;;;;;;;
01:11:20;08061345856;Offline;;;;;;;
01:20:29;08061345848;Offline;;;;;;;
01:20:35;08062045867;Offline;;;;;;;
01:20:42;08061345856;Offline;;;;;;;
01:30:04;08061345856;Offline;;;;;;;
01:32:57;08061345848;Offline;;;;;;;
01:33:03;08062045867;Offline;;;;;;;
01:42:19;08061345848;Offline;;;;;;;
01:42:25;08062045867;Offline;;;;;;;
01:42:31;08061345856;Offline;;;;;;;
01:51:40;08061345848;Offline;;;;;;;
01:51:46;08062045867;Offline;;;;;;;
01:51:53;08061345856;Offline;;;;;;;
02:01:10;08061345848;Offline;;;;;;;
02:01:16;08062045867;Offline;;;;;;;
02:01:23;08061345856;Offline;;;;;;;
02:10:38;08061345848;Offline;;;;;;;
02:10:45;08062045867;Offline;;;;;;;
02:10:51;08061345856;Offline;;;;;;;
02:20:10;08061345848;Offline;;;;;;;
02:20:16;08062045867;Offline;;;;;;;
02:20:22;08061345856;Offline;;;;;;;
02:32:39;08061345848;Offline;;;;;;;
02:32:45;08062045867;Offline;;;;;;;
02:32:52;08061345856;Offline;;;;;;;
02:42:02;08061345848;Offline;;;;;;;
02:42:08;08062045867;Offline;;;;;;;
02:42:15;08061345856;Offline;;;;;;;
02:51:17;08061345848;Offline;;;;;;;
02:51:23;08062045867;Offline;;;;;;;
02:51:30;08061345856;Offline;;;;;;;
03:00:37;08061345848;Offline;;;;;;;
03:00:43;08062045867;Offline;;;;;;;
03:00:51;08061345856;Offline;;;;;;;
03:10:05;08062045867;Offline;;;;;;;
03:10:13;08061345856;Offline;;;;;;;
03:13:06;08061345848;Offline;;;;;;;
03:22:26;08061345848;Offline;;;;;;;
03:22:32;08062045867;Offline;;;;;;;
03:22:39;08061345856;Offline;;;;;;;
03:31:48;08061345848;Offline;;;;;;;
03:31:54;08062045867;Offline;;;;;;;
03:32:00;08061345856;Offline;;;;;;;
03:41:09;08061345848;Offline;;;;;;;
03:41:15;08062045867;Offline;;;;;;;
03:41:22;08061345856;Offline;;;;;;;
03:50:31;08061345848;Offline;;;;;;;
03:50:37;08062045867;Offline;;;;;;;
03:50:44;08061345856;Offline;;;;;;;
04:00:06;08061345856;Offline;;;;;;;
04:02:59;08061345848;Offline;;;;;;;
04:03:05;08062045867;Offline;;;;;;;
04:12:19;08061345848;Offline;;;;;;;
04:12:25;08062045867;Offline;;;;;;;
04:12:32;08061345856;Offline;;;;;;;
04:21:39;08061345848;Offline;;;;;;;
04:21:45;08062045867;Offline;;;;;;;
04:21:52;08061345856;Offline;;;;;;;
04:31:01;08061345848;Offline;;;;;;;
04:31:07;08062045867;Offline;;;;;;;
04:31:13;08061345856;Offline;;;;;;;
04:40:33;08061345848;Offline;;;;;;;
04:40:40;08062045867;Offline;;;;;;;
04:40:46;08061345856;Offline;;;;;;;
04:50:04;08062045867;Offline;;;;;;;
04:50:11;08061345856;Offline;;;;;;;
04:53:05;08061345848;Offline;;;;;;;
05:02:26;08061345848;Offline;;;;;;;
05:02:32;08062045867;Offline;;;;;;;
05:02:39;08061345856;Offline;;;;;;;
05:11:48;08061345848;Offline;;;;;;;
05:11:54;08062045867;Offline;;;;;;;
05:12:00;08061345856;Offline;;;;;;;
05:21:09;08061345848;Offline;;;;;;;
05:21:15;08062045867;Offline;;;;;;;
05:21:22;08061345856;Offline;;;;;;;
05:30:32;08061345848;Offline;;;;;;;
05:30:38;08062045867;Offline;;;;;;;
05:30:45;08061345856;Offline;;;;;;;
05:40:07;08061345856;Offline;;;;;;;
05:43:00;08061345848;Offline;;;;;;;
05:43:07;08062045867;Offline;;;;;;;
05:52:21;08061345848;Offline;;;;;;;
05:52:27;08062045867;Offline;;;;;;;
05:52:33;08061345856;Offline;;;;;;;
06:01:42;08061345848;Offline;;;;;;;
06:01:48;08062045867;Offline;;;;;;;
06:01:55;08061345856;Offline;;;;;;;
06:11:02;08061345848;Offline;;;;;;;
06:11:08;08062045867;Offline;;;;;;;
06:11:16;08061345856;Offline;;;;;;;
06:20:24;08061345848;Offline;;;;;;;
06:20:30;08062045867;Offline;;;;;;;
06:20:36;08061345856;Offline;;;;;;;
06:30:03;08061345856;Offline;;;;;;;
06:32:56;08061345848;Offline;;;;;;;
06:33:02;08062045867;Offline;;;;;;;
06:42:19;08061345848;Offline;;;;;;;
06:42:25;08062045867;Offline;;;;;;;
06:42:32;08061345856;Offline;;;;;;;
06:51:42;08061345848;Offline;;;;;;;
06:51:49;08062045867;Offline;;;;;;;
06:51:55;08061345856;Offline;;;;;;;
07:01:03;08061345848;Offline;;;;;;;
07:01:09;08062045867;Offline;;;;;;;
07:01:16;08061345856;Offline;;;;;;;
07:10:20;08061345848;Offline;;;;;;;
07:10:26;08062045867;Offline;;;;;;;
07:10:31;08061345856;Err. interno;110.7 V;0 W;0.000 kWh;846 h;221 V;0.00 A;121516.494 kWh
07:20:42;08061345848;Baja tensión GS;229.1 V;0 W;0.000 kWh;1064 h;221 V;0.46 A;109493.290 kWh
07:20:46;08062045867;Baja tensión GS;158.5 V;0 W;0.000 kWh;1300 h;222 V;0.43 A;108522.734 kWh
