
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 8: H
 Fecha: 14.06.2020
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:04:45;08061345848;Offline;;;;;;;
00:05:08;08062045867;Offline;;;;;;;
00:05:28;08061345856;Offline;;;;;;;
00:10:35;08061345848;Offline;;;;;;;
00:10:55;08062045867;Offline;;;;;;;
00:11:03;08061345856;Offline;;;;;;;
00:20:36;08061345848;Offline;;;;;;;
00:20:42;08062045867;Offline;;;;;;;
00:20:49;08061345856;Offline;;;;;;;
00:31:49;08061345848;Offline;;;;;;;
00:32:13;08062045867;Offline;;;;;;;
00:32:18;08061345856;Offline;;;;;;;
00:43:28;08061345848;Offline;;;;;;;
00:43:35;08062045867;Offline;;;;;;;
00:43:48;08061345856;Offline;;;;;;;
00:53:45;08061345848;Offline;;;;;;;
00:54:07;08062045867;Offline;;;;;;;
00:54:14;08061345856;Offline;;;;;;;
01:05:28;08061345848;Offline;;;;;;;
01:05:48;08062045867;Offline;;;;;;;
01:05:55;08061345856;Offline;;;;;;;
01:11:19;08061345848;Offline;;;;;;;
01:11:41;08062045867;Offline;;;;;;;
01:11:50;08061345856;Offline;;;;;;;
01:23:05;08061345848;Offline;;;;;;;
01:23:27;08062045867;Offline;;;;;;;
01:23:34;08061345856;Offline;;;;;;;
01:34:42;08061345848;Offline;;;;;;;
01:35:05;08062045867;Offline;;;;;;;
01:35:12;08061345856;Offline;;;;;;;
01:40:32;08061345848;Offline;;;;;;;
01:40:53;08062045867;Offline;;;;;;;
01:41:00;08061345856;Offline;;;;;;;
01:51:51;08061345848;Offline;;;;;;;
01:52:14;08062045867;Offline;;;;;;;
01:52:38;08061345856;Offline;;;;;;;
02:03:15;08061345848;Offline;;;;;;;
02:03:37;08062045867;Offline;;;;;;;
02:03:44;08061345856;Offline;;;;;;;
02:14:06;08061345848;Offline;;;;;;;
02:14:28;08062045867;Offline;;;;;;;
02:14:35;08061345856;Offline;;;;;;;
02:20:16;08062045867;Offline;;;;;;;
02:20:23;08061345856;Offline;;;;;;;
02:25:45;08061345848;Offline;;;;;;;
02:31:34;08061345848;Offline;;;;;;;
02:31:57;08062045867;Offline;;;;;;;
02:32:03;08061345856;Offline;;;;;;;
02:42:39;08061345848;Offline;;;;;;;
02:42:45;08062045867;Offline;;;;;;;
02:42:51;08061345856;Offline;;;;;;;
02:53:50;08061345848;Offline;;;;;;;
02:54:12;08062045867;Offline;;;;;;;
02:54:33;08061345856;Offline;;;;;;;
03:04:40;08061345848;Offline;;;;;;;
03:05:02;08062045867;Offline;;;;;;;
03:05:09;08061345856;Offline;;;;;;;
03:10:28;08061345848;Offline;;;;;;;
03:10:50;08062045867;Offline;;;;;;;
03:10:57;08061345856;Offline;;;;;;;
03:21:46;08061345848;Offline;;;;;;;
03:22:11;08062045867;Offline;;;;;;;
03:22:34;08061345856;Offline;;;;;;;
03:33:46;08061345848;Offline;;;;;;;
03:34:08;08062045867;Offline;;;;;;;
03:34:15;08061345856;Offline;;;;;;;
03:44:51;08061345848;Offline;;;;;;;
03:44:57;08062045867;Offline;;;;;;;
03:45:03;08061345856;Offline;;;;;;;
03:54:31;08061345848;Offline;;;;;;;
03:54:53;08062045867;Offline;;;;;;;
03:54:59;08061345856;Offline;;;;;;;
04:00:19;08061345848;Offline;;;;;;;
04:00:41;08062045867;Offline;;;;;;;
04:00:48;08061345856;Offline;;;;;;;
04:10:43;08061345848;Offline;;;;;;;
04:10:49;08062045867;Offline;;;;;;;
04:10:55;08061345856;Offline;;;;;;;
04:21:56;08061345848;Offline;;;;;;;
04:22:22;08062045867;Offline;;;;;;;
04:22:29;08061345856;Offline;;;;;;;
04:33:43;08061345848;Offline;;;;;;;
04:34:06;08062045867;Offline;;;;;;;
04:34:27;08061345856;Offline;;;;;;;
04:44:14;08061345848;Offline;;;;;;;
04:44:21;08062045867;Offline;;;;;;;
04:44:34;08061345856;Offline;;;;;;;
04:55:17;08061345848;Offline;;;;;;;
04:55:37;08062045867;Offline;;;;;;;
04:55:43;08061345856;Offline;;;;;;;
05:01:07;08061345848;Offline;;;;;;;
05:01:27;08062045867;Offline;;;;;;;
05:01:33;08061345856;Offline;;;;;;;
05:12:36;08061345848;Offline;;;;;;;
05:12:42;08062045867;Offline;;;;;;;
05:12:49;08061345856;Offline;;;;;;;
05:24:01;08061345848;Offline;;;;;;;
05:24:08;08062045867;Offline;;;;;;;
05:24:21;08061345856;Offline;;;;;;;
05:34:37;08061345848;Offline;;;;;;;
05:34:59;08062045867;Offline;;;;;;;
05:35:06;08061345856;Offline;;;;;;;
05:40:25;08061345848;Offline;;;;;;;
05:40:46;08062045867;Offline;;;;;;;
05:40:53;08061345856;Offline;;;;;;;
05:52:27;08061345848;Offline;;;;;;;
05:52:47;08062045867;Offline;;;;;;;
05:52:55;08061345856;Offline;;;;;;;
06:04:06;08061345848;Offline;;;;;;;
06:04:26;08062045867;Offline;;;;;;;
06:04:34;08061345856;Offline;;;;;;;
06:14:05;08061345848;Offline;;;;;;;
06:14:27;08062045867;Offline;;;;;;;
06:14:34;08061345856;Offline;;;;;;;
06:23:19;08061345848;Offline;;;;;;;
06:23:41;08062045867;Offline;;;;;;;
06:24:02;08061345856;Offline;;;;;;;
06:32:50;08061345848;Offline;;;;;;;
06:33:10;08062045867;Offline;;;;;;;
06:33:19;08061345856;Offline;;;;;;;
06:41:30;08061345848;Offline;;;;;;;
06:41:55;08062045867;Offline;;;;;;;
06:42:02;08061345856;Offline;;;;;;;
06:51:00;08061345848;Offline;;;;;;;
06:51:07;08062045867;Offline;;;;;;;
06:51:31;08061345856;Offline;;;;;;;
07:00:10;08061345848;Offline;;;;;;;
07:00:33;08062045867;Offline;;;;;;;
07:00:56;08061345856;Offline;;;;;;;
07:10:22;08061345856;Offline;;;;;;;
07:14:17;08061345848;Offline;;;;;;;
07:14:40;08062045867;Offline;;;;;;;
07:20:16;08061345856;Offline;;;;;;;
07:24:49;08061345848;Offline;;;;;;;
07:24:56;08062045867;Offline;;;;;;;
07:33:21;08061345848;Offline;;;;;;;
07:33:27;08062045867;Offline;;;;;;;
07:33:34;08061345856;Offline;;;;;;;
07:43:18;08061345848;Offline;;;;;;;
07:43:27;08062045867;Offline;;;;;;;
07:43:51;08061345856;Offline;;;;;;;
07:52:56;08061345848;Offline;;;;;;;
07:53:21;08062045867;Offline;;;;;;;
07:53:43;08061345856;Offline;;;;;;;
08:03:18;08061345848;Offline;;;;;;;
08:03:39;08062045867;Offline;;;;;;;
08:03:50;08061345856;Offline;;;;;;;
08:13:07;08061345848;Offline;;;;;;;
08:13:27;08062045867;Offline;;;;;;;
08:13:32;08061345856;Offline;;;;;;;
08:22:12;08061345848;Offline;;;;;;;
08:22:32;08062045867;Offline;;;;;;;
08:22:41;08061345856;Offline;;;;;;;
08:32:16;08061345848;Offline;;;;;;;
08:32:40;08062045867;Offline;;;;;;;
08:33:04;08061345856;Offline;;;;;;;
08:42:22;08061345848;Offline;;;;;;;
08:42:44;08062045867;Offline;;;;;;;
08:42:51;08061345856;Offline;;;;;;;
08:51:39;08061345848;Offline;;;;;;;
08:52:06;08062045867;Offline;;;;;;;
08:52:14;08061345856;Offline;;;;;;;
09:01:25;08061345848;Offline;;;;;;;
09:01:52;08062045867;Offline;;;;;;;
09:02:01;08061345856;Offline;;;;;;;
09:12:16;08061345848;Offline;;;;;;;
09:12:38;08062045867;Offline;;;;;;;
09:12:50;08061345856;Offline;;;;;;;
09:23:29;08061345848;Offline;;;;;;;
09:23:37;08062045867;Offline;;;;;;;
09:24:03;08061345856;Offline;;;;;;;
09:33:17;08061345848;Offline;;;;;;;
09:33:28;08062045867;Offline;;;;;;;
09:33:52;08061345856;Offline;;;;;;;
09:42:47;08061345848;Offline;;;;;;;
09:43:09;08062045867;Offline;;;;;;;
09:43:17;08061345856;Offline;;;;;;;
09:53:03;08061345848;Offline;;;;;;;
09:53:28;08062045867;Offline;;;;;;;
09:53:53;08061345856;Offline;;;;;;;
10:03:28;08061345848;Offline;;;;;;;
10:03:35;08062045867;Offline;;;;;;;
10:04:01;08061345856;Offline;;;;;;;
10:13:42;08061345848;Offline;;;;;;;
10:13:51;08062045867;Offline;;;;;;;
10:14:16;08061345856;Offline;;;;;;;
10:23:27;08061345848;Offline;;;;;;;
10:23:34;08062045867;Offline;;;;;;;
10:23:58;08061345856;Offline;;;;;;;
10:33:54;08061345848;Offline;;;;;;;
10:34:15;08062045867;Offline;;;;;;;
10:34:23;08061345856;Offline;;;;;;;
10:43:50;08061345848;Offline;;;;;;;
10:44:13;08062045867;Offline;;;;;;;
10:44:33;08061345856;Offline;;;;;;;
10:54:33;08061345848;Offline;;;;;;;
10:54:42;08062045867;Offline;;;;;;;
10:55:07;08061345856;Offline;;;;;;;
11:05:34;08062045867;Offline;;;;;;;
11:05:41;08061345856;Offline;;;;;;;
11:10:24;08061345848;Offline;;;;;;;
11:10:52;08062045867;Offline;;;;;;;
11:11:17;08061345856;Offline;;;;;;;
11:20:13;08061345848;Offline;;;;;;;
11:20:35;08062045867;Offline;;;;;;;
11:20:43;08061345856;Offline;;;;;;;
11:30:23;08061345848;Offline;;;;;;;
11:30:30;08062045867;Offline;;;;;;;
11:30:56;08061345856;Offline;;;;;;;
11:41:41;08061345848;Offline;;;;;;;
11:41:53;08062045867;Offline;;;;;;;
11:42:05;08061345856;Offline;;;;;;;
11:52:10;08061345848;Offline;;;;;;;
11:52:27;08061345856;Offline;;;;;;;
11:57:31;08062045867;Offline;;;;;;;
12:02:19;08061345848;Offline;;;;;;;
12:02:25;08062045867;Offline;;;;;;;
12:02:32;08061345856;Offline;;;;;;;
12:11:52;08061345848;Offline;;;;;;;
12:12:14;08062045867;Offline;;;;;;;
12:12:24;08061345856;Offline;;;;;;;
12:21:38;08061345848;Offline;;;;;;;
12:22:05;08062045867;Offline;;;;;;;
12:22:14;08061345856;Offline;;;;;;;
12:34:32;08061345848;Offline;;;;;;;
12:34:45;08062045867;Offline;;;;;;;
12:35:07;08061345856;Offline;;;;;;;
12:40:37;08061345848;Offline;;;;;;;
12:40:47;08062045867;Offline;;;;;;;
12:41:16;08061345856;Offline;;;;;;;
12:52:18;08061345848;Offline;;;;;;;
12:52:38;08062045867;Offline;;;;;;;
12:52:50;08061345856;Offline;;;;;;;
13:01:47;08061345848;Offline;;;;;;;
13:02:13;08062045867;Offline;;;;;;;
13:02:39;08061345856;Offline;;;;;;;
13:12:15;08061345848;Offline;;;;;;;
13:12:37;08062045867;Offline;;;;;;;
13:12:47;08061345856;Offline;;;;;;;
13:22:14;08061345848;Offline;;;;;;;
13:22:36;08062045867;Offline;;;;;;;
13:22:47;08061345856;Offline;;;;;;;
13:32:17;08061345848;Offline;;;;;;;
13:32:23;08062045867;Offline;;;;;;;
13:32:30;08061345856;Offline;;;;;;;
13:42:39;08061345848;Offline;;;;;;;
13:42:59;08062045867;Offline;;;;;;;
13:43:10;08061345856;Offline;;;;;;;
13:52:19;08061345848;Offline;;;;;;;
13:52:39;08062045867;Offline;;;;;;;
13:52:48;08061345856;Offline;;;;;;;
14:01:28;08062045867;Offline;;;;;;;
14:01:35;08061345856;Offline;;;;;;;
14:05:48;08061345848;Offline;;;;;;;
14:11:28;08061345848;Offline;;;;;;;
14:11:38;08062045867;Offline;;;;;;;
14:11:51;08061345856;Offline;;;;;;;
14:21:48;08061345848;Offline;;;;;;;
14:21:56;08062045867;Offline;;;;;;;
14:22:22;08061345856;Offline;;;;;;;
14:32:46;08061345848;Offline;;;;;;;
14:33:11;08062045867;Offline;;;;;;;
14:33:36;08061345856;Offline;;;;;;;
14:43:17;08061345848;Offline;;;;;;;
14:43:39;08062045867;Offline;;;;;;;
14:43:47;08061345856;Offline;;;;;;;
14:53:20;08061345848;Offline;;;;;;;
14:53:30;08062045867;Offline;;;;;;;
14:53:54;08061345856;Offline;;;;;;;
15:04:30;08061345848;Offline;;;;;;;
15:04:57;08062045867;Offline;;;;;;;
15:05:25;08061345856;Offline;;;;;;;
15:11:12;08061345848;Offline;;;;;;;
15:11:22;08062045867;Offline;;;;;;;
15:11:35;08061345856;Offline;;;;;;;
15:20:59;08061345848;Offline;;;;;;;
15:21:21;08062045867;Offline;;;;;;;
15:21:53;08061345856;Offline;;;;;;;
15:32:59;08061345848;Offline;;;;;;;
15:33:08;08062045867;Offline;;;;;;;
15:33:30;08061345856;Offline;;;;;;;
15:43:12;08061345848;Offline;;;;;;;
15:43:22;08062045867;Offline;;;;;;;
15:43:49;08061345856;Offline;;;;;;;
15:53:44;08061345848;Offline;;;;;;;
15:53:55;08062045867;Offline;;;;;;;
15:54:21;08061345856;Offline;;;;;;;
16:00:10;08061345856;Offline;;;;;;;
16:04:47;08061345848;Offline;;;;;;;
16:05:11;08062045867;Offline;;;;;;;
16:10:19;08061345848;Offline;;;;;;;
16:10:27;08062045867;Offline;;;;;;;
16:10:52;08061345856;Offline;;;;;;;
16:20:58;08061345848;Offline;;;;;;;
16:21:05;08062045867;Offline;;;;;;;
16:21:31;08061345856;Offline;;;;;;;
16:30:32;08061345848;Offline;;;;;;;
16:30:56;08062045867;Offline;;;;;;;
16:31:20;08061345856;Offline;;;;;;;
16:41:33;08061345848;Offline;;;;;;;
16:42:00;08062045867;Offline;;;;;;;
16:42:12;08061345856;Offline;;;;;;;
16:52:57;08061345848;Offline;;;;;;;
16:53:09;08062045867;Offline;;;;;;;
16:53:34;08061345856;Offline;;;;;;;
17:04:37;08061345848;Offline;;;;;;;
17:04:45;08062045867;Offline;;;;;;;
17:05:11;08061345856;Offline;;;;;;;
17:10:34;08061345856;Offline;;;;;;;
17:15:29;08061345848;Offline;;;;;;;
17:15:49;08062045867;Offline;;;;;;;
17:20:45;08061345848;Offline;;;;;;;
17:21:11;08062045867;Offline;;;;;;;
